FISCAL_YEAR,CATEGORY,AGENCY,APPROPRIATED_FUND,COMPTROLLER_OBJECT,AMOUNT
2025,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$74,667 "
2025,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5136 - Gr Acct - Cancer Prevention And Research,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$872,522 "
2025,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5168 - Gr Acct-Cancer Prevention Research I&S,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,327,760 "
2025,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$241,447,592 "
2025,Operating Fund Transfers,Commission on State Emergency Communications,5007 - Gr Acct Comm On State Emergency Comm,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$102,268,194 "
2025,Operating Fund Transfers,Commission on State Emergency Communications,5050 - Gr Acct-911 Service Fees,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$44,957,637 "
2025,Operating Fund Transfers,Comptroller-State Energy Conservation Office,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,224,967 "
2025,Operating Fund Transfers,Comptroller-State Energy Conservation Office,5005 - Gr Acct - Oil Overcharge,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,119,324 "
2025,Operating Fund Transfers,Comptroller-State Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,321,844,292 "
2025,Operating Fund Transfers,Comptroller-State Fiscal,5040 - Gr Acct-Tobacco Settlement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$862,005,156 "
