FISCAL YEAR,CATEGORY,AGENCY,APPROPRIATED FUND,COMPTROLLER OBJECT,AMOUNT
2016,Education,Angelo State University,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,($0)
2016,Education,Angelo State University,0227 - Gr Acct-Angelo State Univ Curr,7503 - Telecommunications – Long Distance,$0
2016,Education,Sam Houston State University,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,114"
2016,Education,Sam Houston State University,0259 - Gr Acct-Sam Houston St Unv Cur,7503 - Telecommunications – Long Distance,"$3,103"
2016,Education,Sam Houston State University,0581 - Gr Acct-B Blackwood Law Enf Mng Inst,7503 - Telecommunications – Long Distance,"$6,289"
2016,Education,Sam Houston State University,5083 - Gr Acct-Corr Mngmt Inst & Crim Justice C,7503 - Telecommunications – Long Distance,$888
2016,Education,Texas A&M AgriLife Extension Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$10,867"
2016,Education,Texas A&M AgriLife Research,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,671"
2016,Education,Texas A&M Engineering Experiment Station,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$106
2016,Education,Texas A&M Engineering Extension Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$3,023"
2016,Education,Texas A&M Forest Service,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$4,876"
2016,Education,Texas A&M Forest Service,0036 - Gr Acct-Tx Dept Ins Operating,7503 - Telecommunications – Long Distance,"$8,377"
2016,Education,Texas A&M Forest Service,5064 - Gr Acct - Volunteer Fire Dept Assistance,7503 - Telecommunications – Long Distance,"$1,253"
2016,Education,Texas A&M Forest Service,5066 - Gr Acct-Rural Volunteer Fire Dept Insura,7503 - Telecommunications – Long Distance,$826
2016,Education,Texas A&M University (Main University),0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$430
2016,Education,Texas A&M University System,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$51
2016,Education,Texas A&M University System,0047 - Texas A&M Univ Available Fund,7503 - Telecommunications – Long Distance,"$7,686"
2016,Education,Texas A&M University System Health Science Center,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$5,715"
2016,Education,Texas A&M University System Health Science Center,0289 - Gr Acct-Tx A&M Univ-System Hsc,7503 - Telecommunications – Long Distance,$351
2016,Education,Texas A&M University System Health Science Center,0818 - Permanent Endowment Fund Tx A&M Hsc,7503 - Telecommunications – Long Distance,$780
2016,Education,Texas A&M University-Corpus Christi,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,872"
2016,Education,Texas A&M University-Kingsville,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$322
2016,Education,Texas A&M Veterinary Medical Diagnostic Laboratory,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$8,876"
2016,Education,Texas Education Agency,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$794
2016,Education,Texas Education Agency,0003 - State Technology Instructional Materials,7503 - Telecommunications – Long Distance,$12
2016,Education,Texas Education Agency,0044 - Permanent School Fund,7503 - Telecommunications – Long Distance,$211
2016,Education,Texas Education Agency,0148 - Gr Acct-Fed Health/Ed/Welfare,7503 - Telecommunications – Long Distance,"$1,400"
2016,Education,Texas Higher Education Coordinating Board,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,394"
2016,Education,Texas School for the Blind and Visually Impaired,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$547
2016,Education,Texas State Technical College System,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$16,966"
2016,Education,Texas State Technical College System,0237 - Gr Acct-Tx St Tech Coll Sys Curr,7503 - Telecommunications – Long Distance,$1
2016,Education,University of Houston-Clear Lake,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$60
2016,Education,University of Houston-Clear Lake,0229 - Gr Acct-U Of H Clear Lake Curr,7503 - Telecommunications – Long Distance,$297
2016,Education,University of North Texas,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$1
2016,Education,University of North Texas Health Science Center at Fort Worth,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$2,042"
2016,Education,University of Texas at Austin,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$3,020"
2016,Education,University of Texas at Austin,0011 - Available University Fund,7503 - Telecommunications – Long Distance,"$5,521"
2016,Education,University of Texas at Austin,0248 - Gr Acct-Univ Tx At Austin Curr,7503 - Telecommunications – Long Distance,$418
2016,Education,University of Texas at El Paso,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$0
2016,Education,University of Texas at El Paso,0817 - Permanent Endowment Fund Ut At El Paso,7503 - Telecommunications – Long Distance,$2
2016,Education,University of Texas Medical Branch at Galveston,0810 - Permanent Health Fund For Higher Ed,7503 - Telecommunications – Long Distance,$853
2016,Education,University of Texas Medical Branch at Galveston,0814 - Perm Endowmt Fd Ut Med Branch Galveston,7503 - Telecommunications – Long Distance,$165
2016,Education,University of Texas of the Permian Basin,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$6,045"
2016,Education,University of Texas of the Permian Basin,0251 - Gr Acct-Ut Permian Basin Curr,7503 - Telecommunications – Long Distance,$401
2016,Education,University of Texas Southwestern Medical Center,0813 - Perm Endowmt Fd Utsw Medical Center,7503 - Telecommunications – Long Distance,$118
2016,Education,University of Texas System,0011 - Available University Fund,7503 - Telecommunications – Long Distance,$467
2016,Education,West Texas A&M University,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$11,392"
2016,Education,West Texas A&M University,0263 - Gr Acct-West Tex A&M University Current,7503 - Telecommunications – Long Distance,"$10,709"
2016,Employee Benefits,Employees Retirement System of Texas,0929 - Social Security Admin Tr Acct,7503 - Telecommunications – Long Distance,$56
2016,Employee Benefits,Employees Retirement System of Texas,0943 - St Emp Cafeteria Plan Tr Fd,7503 - Telecommunications – Long Distance,$265
2016,Employee Benefits,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7503 - Telecommunications – Long Distance,$76
2016,Employee Benefits,Employees Retirement System of Texas,0946 - Texasaver Trust Fund,7503 - Telecommunications – Long Distance,$140
2016,Employee Benefits,Employees Retirement System of Texas,0955 - S.E.R.S. Trust Account,7503 - Telecommunications – Long Distance,"$45,456"
2016,Employee Benefits,Employees Retirement System of Texas,0973 - Employee Ins Benefit Trust Acct,7503 - Telecommunications – Long Distance,"$5,627"
2016,Employee Benefits,Employees Retirement System of Texas,0977 - Law Enf/Cust Off Supp Retmt Fd,7503 - Telecommunications – Long Distance,$936
2016,Employee Benefits,Employees Retirement System of Texas,0993 - Jud Ret Sys-Plan Two Trust Fd,7503 - Telecommunications – Long Distance,$141
2016,General Government,Attorney General,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$36,312"
2016,General Government,Attorney General,0006 - State Highway Fund,7503 - Telecommunications – Long Distance,$15
2016,General Government,Attorney General,0469 - Gr Acct-Comp To Victims Of Crime,7503 - Telecommunications – Long Distance,$820
2016,General Government,Comptroller of Public Accounts,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$956
2016,General Government,Court of Appeals-Eighth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$164
2016,General Government,Court of Appeals-Fifth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,"$1,245"
2016,General Government,Court of Appeals-Seventh Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$183
2016,General Government,Court of Appeals-Tenth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$152
2016,General Government,Court of Appeals-Twelfth Court of Appeals District,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$102
2016,General Government,Governor-Executive,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$181
2016,General Government,Governor-Fiscal,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$795
2016,General Government,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7503 - Telecommunications – Long Distance,$3
2016,General Government,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7503 - Telecommunications – Long Distance,$14
2016,General Government,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7503 - Telecommunications – Long Distance,$41
2016,General Government,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7503 - Telecommunications – Long Distance,$135
2016,General Government,Governor-Fiscal,5161 - Gr-Acct Governor'S Univ Research Initive,7503 - Telecommunications – Long Distance,$7
2016,General Government,House of Representatives,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$217
2016,General Government,Office of Capital and Forensic Writs,5073 - Gr Acct-Fair Defense,7503 - Telecommunications – Long Distance,$27
2016,General Government,Office of Court Administration,0001 - General Revenue Fund,7503 - Telecommunications – Long Distance,$3
